challengeID,gpa,grit,materialHardship,eviction,layoff,jobTraining
80,2.75,3.0,0.0,0.0,0.0,0.0
187,,,,,,
266,,,0.0,0.0,0.0,0.0
343,,,,,,
357,,,,,,
380,3.75,3.5,0.0,0.0,0.0,0.0
435,3.0,2.75,0.0,0.0,0.0,1.0
466,,3.0,0.0,0.0,0.0,0.0
532,,,,,,
542,,,,,,
575,2.5,3.75,0.0,0.0,1.0,0.0
586,3.5,2.75,0.0,0.0,0.0,0.0
616,3.0,3.0,0.181818181818182,1.0,0.0,0.0
620,,,,,,
654,,,,,,
806,3.5,4.0,0.363636363636364,0.0,0.0,0.0
833,3.25,2.5,0.545454545454545,1.0,,0.0
965,4.0,3.0,0.0,0.0,0.0,0.0
1003,,,,,,
1004,,3.0,0.0,0.0,0.0,0.0
1032,,3.0,0.0,0.0,0.0,0.0
1049,3.75,3.75,0.0,0.0,0.0,1.0
1062,1.75,2.5,0.0,0.0,0.0,0.0
1104,,,,,,
1124,3.5,3.0,0.272727272727273,0.0,0.0,0.0
1145,,,,,,
1266,,3.0,0.0,0.0,,0.0
1276,3.25,2.75,0.0,0.0,0.0,0.0
1280,3.0,3.0,0.181818181818182,0.0,0.0,1.0
1387,3.25,3.75,0.0,0.0,0.0,0.0
1389,1.75,3.0,0.0,0.0,0.0,1.0
1422,,,,,,
1477,4.0,4.0,0.0,0.0,0.0,0.0
1518,2.25,4.0,0.818181818181818,1.0,0.0,0.0
1566,3.75,3.25,0.0,0.0,0.0,0.0
1569,3.5,3.75,0.0909090909090909,0.0,0.0,0.0
1570,,,,,,
1583,,2.25,0.0,0.0,0.0,1.0
1588,3.5,3.75,0.0909090909090909,0.0,0.0,1.0
1612,3.25,3.5,0.181818181818182,0.0,0.0,1.0
1616,,2.75,0.0,0.0,0.0,0.0
1659,,,,,,
1666,,,,,,
1675,,3.0,0.0,0.0,0.0,0.0
1719,,,,,,
1726,3.75,3.5,0.0909090909090909,0.0,,0.0
1759,,,,,,
1936,,,,,,
2056,3.75,4.0,0.0,0.0,0.0,0.0
2249,3.5,3.5,0.0,0.0,1.0,1.0
2305,4.0,3.5,0.0,0.0,0.0,1.0
2354,,,,,,
2382,,,,,,
2501,,,,,,
2545,,3.0,0.0,0.0,0.0,0.0
2553,,,,,,
2630,,3.5,0.0,0.0,1.0,0.0
2721,,,,,,
2723,4.0,3.0,0.0,0.0,0.0,1.0
2888,,,,,,
2954,4.0,3.5,0.0,0.0,,0.0
3134,,,,,,
3270,,,,,,
3344,4.0,3.75,0.0,0.0,0.0,1.0
3392,,3.25,0.272727272727273,0.0,1.0,1.0
3450,3.75,3.5,0.272727272727273,0.0,1.0,1.0
3664,4.0,3.25,0.0,0.0,0.0,0.0
3681,3.5,2.75,0.0,0.0,0.0,0.0
3685,2.0,4.0,0.636363636363636,0.0,0.0,1.0
3705,,3.75,0.0,0.0,0.0,0.0
3708,1.5,2.75,0.0,0.0,0.0,0.0
3838,4.0,3.5,0.0,0.0,0.0,0.0
3962,,2.25,0.0909090909090909,0.0,0.0,0.0
4187,,,,,,
4222,,,,,,
